PAP399	otm-14652c30-3279-46b7-a3a0-5c15ffe1d6ce
PAP350	otm-31c8f021-1123-4df7-8dc3-db10b59db783
LSI30001	otm-fdadfde2-819d-46af-bf15-b1d5c7124346
TKT21034	otm-bec56a9b-d8c7-4ca1-a623-9e2a90697dd4
MATR399	otm-3202d299-cd3f-43e3-b79d-754de8d1a435
ECON-L6310	otm-acf1b24b-a88e-4483-bd57-6a3917984155
ATM310	otm-a87a4050-5e81-48c1-90b8-e870c16320d2
MAST30000	otm-0083db2a-29cd-4c99-850f-4ce48f38bed0
MS-EV0030	otm-d2fb7d10-e734-468e-a37b-f11fe90c2e44
MS-EV0025	otm-a1225754-a503-4c03-ae4e-f47284458e70
CS-E50008	otm-12945e11-a6d0-4c57-a08d-dcf5b161234b
CS-E400211	otm-6a7267cd-6c91-4862-9555-82888db1064c
CS-E505003	otm-ddc826cb-c1b3-496e-b3ef-c7f8ad1213d9
CS-E50023	otm-1a55226d-f709-4487-800f-cba6ce9b8cd8
CS-E577005	otm-bba1efc1-3a9b-4099-bd63-6daab0b98990
CS-E407522	otm-dea8f169-05d1-4e18-81ac-d5b79ef3f2a5
CS-E407521	otm-867cf13d-3ccc-49ed-8d72-d6d771620daf
REE-521	otm-fe4016e8-d30e-4650-b9d5-056a1af03f3a
REE-522	otm-f9fdd3a0-7ef8-4ca6-9b4e-0dee75897d1f
REE-523	otm-4e95306e-f79b-4584-bbaa-7e5d510c8ad6
REE-524	otm-1e480327-dda0-4c7e-9a34-a89cd4cf674c
YMV-A504	otm-39ea0173-14e4-4d9c-872f-956933471c7f
KUMA-MU512	hy-CU-118730266-2020-08-01
